Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Haiti,HTI,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.7874396038217
Haiti,HTI,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.816526662168
Haiti,HTI,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.2134803502901
Haiti,HTI,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.9191934166828
Haiti,HTI,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.8802038301322
Haiti,HTI,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.0909278256161
Haiti,HTI,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.097618494186
Haiti,HTI,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.1454712225994
Haiti,HTI,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.780535848663
Haiti,HTI,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.8372039641934
Haiti,HTI,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.136821838323
Haiti,HTI,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.2938564429582
Haiti,HTI,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.0618572045191
Haiti,HTI,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.6264347045699
Haiti,HTI,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.78488613865626
Haiti,HTI,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.11419488539936
Haiti,HTI,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.73898379948617
Haiti,HTI,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.81675131232626
Haiti,HTI,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.27581724259363
Haiti,HTI,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.60972584912124
Haiti,HTI,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.1734911571895
Haiti,HTI,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.673192491706
Haiti,HTI,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.1305557160316
Haiti,HTI,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.4943436019465
Haiti,HTI,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.8118283138466
Haiti,HTI,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.25711230013455
Haiti,HTI,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.51391157931094
Haiti,HTI,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.26522052570545
Haiti,HTI,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.05637981966034
Haiti,HTI,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.01125243509183
Haiti,HTI,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.1350617952976
Haiti,HTI,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.1556299128193
Haiti,HTI,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.6932395466979
Haiti,HTI,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.7135461604832
Haiti,HTI,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.2516173982283
Haiti,HTI,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.163418127104
Haiti,HTI,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.9130327700739
Haiti,HTI,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.1020214389752
